Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
276.048,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 1,0.0,,,,,,
280.745,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 1,0.0,CoordX,66.0,CoordY,220.0,,
320.381,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
320.381,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
320.381,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 1,0.0,,,,,,
322.94,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 1,0.0,CoordX,3.0,CoordY,214.0,,
345.086,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 2,1.0,,,,,,
345.086,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
345.086,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 4,3.0,,,,,,
354.05199999999996,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,52.0,CoordY,210.0,,
375.01099999999997,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
375.01099999999997,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 1,0.0,,,,,,
375.01099999999997,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 4,3.0,,,,,,
381.24800000000005,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 1,0.0,CoordX,29.0,CoordY,219.0,,
422.35,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
422.35,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
422.35,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
424.1,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 2,1.0,CoordX,19.0,CoordY,220.0,,
449.102,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
449.102,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
449.102,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
462.86199999999997,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,15.0,CoordY,209.0,,
484.036,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 2,1.0,,,,,,
484.036,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
484.036,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 4,3.0,,,,,,
492.35900000000004,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,90.0,CoordY,205.0,,
513.526,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
513.526,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
513.526,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
517.756,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,34.0,CoordY,229.0,,
544.341,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 3,2.0,,,,,,
544.341,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
544.341,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 3,2.0,,,,,,
560.451,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 3,2.0,CoordX,44.0,CoordY,209.0,,
594.203,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 3,2.0,,,,,,
594.203,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
594.203,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 3,2.0,,,,,,
608.535,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 3,2.0,CoordX,30.0,CoordY,211.0,,
629.496,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
629.496,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
629.496,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
636.922,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 2,1.0,CoordX,30.0,CoordY,207.0,,
